index,id_distr_bank,year,newid,baseline_PSU,dummy_settle_without_na_11,dummy_settle_without_na_2,dummy_settle_without_na_3,dummy_settle_without_na_1,dummy_settle_without_na_12,dummy_settle_without_na_4,dummy_settle_without_na_5,dummy_settle_without_na_13,dummy_settle_without_na_21,dummy_settle_without_na_22,dummy_settle_without_na_23,dummy_settle_without_na_255
49.0,193.0,2015.0,3245.0,409.0,0.49099099099099097,0.02252252252252252,0.4864864864864865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,15.0,2015.0,11703.0,62.0,0.44945387629110767,0.07299952510981836,0.3903745696307729,0.003442953816929835,0.04796390834619494,0.0007716965451739286,0.03431081562388698,0.0,0.0,0.0006826546361153983,0.0,0.0
51.0,14.0,2015.0,11703.0,15.0,0.44945387629110767,0.07299952510981836,0.3903745696307729,0.003442953816929835,0.04796390834619494,0.0007716965451739286,0.03431081562388698,0.0,0.0,0.0006826546361153983,0.0,0.0
52.0,91.0,2015.0,11712.0,364.0,0.4861111111111111,0.009259259259259259,0.4837962962962963,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
53.0,156.0,2015.0,12369.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,161.0,2015.0,12369.0,501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,158.0,2015.0,12370.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,160.0,2015.0,12370.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57.0,159.0,2015.0,12371.0,497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.0,157.0,2015.0,12371.0,495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.0,146.0,2015.0,13021.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,145.0,2015.0,13028.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,149.0,2015.0,13044.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.0,148.0,2015.0,13025.0,424.0,0.2505265766323876,0.278775864205179,0.16193780200718622,0.1037046214843266,0.09515549498203445,0.0004956015363647627,0.007062321893197869,0.1023417172593235,0.0,0.0,0.0,0.0
63.0,147.0,2015.0,13026.0,422.0,0.2505265766323876,0.278775864205179,0.16193780200718622,0.1037046214843266,0.09515549498203445,0.0004956015363647627,0.007062321893197869,0.1023417172593235,0.0,0.0,0.0,0.0
64.0,24.0,2015.0,13038.0,452.0,0.02836331901181525,0.23999731471535982,0.235734425349087,0.04961063372717508,0.1899503222341568,0.0017118689581095596,0.02896750805585392,0.22489258861439312,0.0,0.0,0.0007720193340494092,0.0
65.0,26.0,2015.0,13046.0,44.0,0.448690539818279,0.04623196151790487,0.4794227685729556,0.025654730090860504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,219.0,2015.0,13049.0,191.0,0.49065420560747663,0.0,0.5093457943925234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,110.0,2015.0,13064.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,107.0,2015.0,13064.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.0,108.0,2015.0,13066.0,332.0,0.4882639125981564,0.18244281324684192,0.2458603618982588,0.005932058723113691,0.004182314783202458,8.535336292249915e-05,0.07071526118129054,0.002517924206213725,0.0,0.0,0.0,0.0
70.0,216.0,2015.0,13071.0,226.0,0.43799126637554586,0.125,0.3230349344978166,0.0006550218340611354,0.05262008733624454,0.0,0.060698689956331875,0.0,0.0,0.0,0.0,0.0
71.0,214.0,2015.0,13089.0,224.0,0.46746251273838985,0.06405590333381861,0.3261027806085311,7.279079924297569e-05,0.031955160867666324,0.0,0.10707526568641723,0.003275585965933906,0.0,0.0,0.0,0.0
72.0,211.0,2015.0,13202.0,221.0,0.46746251273838985,0.06405590333381861,0.3261027806085311,7.279079924297569e-05,0.031955160867666324,0.0,0.10707526568641723,0.003275585965933906,0.0,0.0,0.0,0.0
73.0,20.0,2015.0,13094.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,17.0,2015.0,13094.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,21.0,2015.0,13096.0,215.0,0.5111607142857143,0.004464285714285714,0.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,212.0,2015.0,13101.0,222.0,0.4731923266109198,0.06935563207083129,0.37629119527791444,0.0014756517461878996,0.0,0.008853910477127398,0.07083128381701918,0.0,0.0,0.0,0.0,0.0
77.0,215.0,2015.0,14123.0,225.0,0.4731923266109198,0.06935563207083129,0.37629119527791444,0.0014756517461878996,0.0,0.008853910477127398,0.07083128381701918,0.0,0.0,0.0,0.0,0.0
