index,id_distr_bank,year,newid,baseline_PSU,nightlight_mean,nightlight_sd,nightlight_sum
145,253,2015,23863,400,0.5007961,0.32692972,51.581997
146,262,2015,23865,386,0.8681792,1.3822393,94.63153
147,209,2015,23941,543,0.4205737,0.19578725,15.561228
148,200,2015,23972,171,0.7641141,0.560042,333.15375
149,199,2015,23972,167,0.7641141,0.560042,333.15375
150,89,2015,24023,621,0.65653384,0.76544863,118.83263
151,66,2015,24063,119,6.33244,1.0696322,44.32708
152,168,2015,24110,266,1.6200855,2.3534272,693.3966
153,261,2015,24139,385,0.7089214,0.83173937,29.065777
154,99,2015,24308,103,0.43455303,0.30491093,60.40287
155,258,2015,24340,372,2.818085,4.3092184,845.4255
156,257,2015,24340,256,2.818085,4.3092184,845.4255
157,245,2015,24382,449,0.74719906,0.3852462,127.771034
158,243,2015,24382,445,0.74719906,0.3852462,127.771034
160,217,2015,24412,204,1.1622099,1.8501,298.68793
161,31,2015,24430,467,0.62697136,0.19327077,45.141937
162,260,2015,24553,259,0.49264392,0.40921172,50.742325
