index,id_distr_bank,year,newid,baseline_PSU,dummy_settl_0,dummy_settl_11,dummy_settl_2,dummy_settl_3,dummy_settl_1,dummy_settl_12,dummy_settl_4,dummy_settl_5,dummy_settl_13,dummy_settl_21,dummy_settl_22,dummy_settl_23,dummy_settl_255
49.0,193.0,2015.0,3245.0,409.0,0.9955440476907328,0.002187832440135686,0.00010035928624475623,0.0021677605828867345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,15.0,2015.0,11703.0,62.0,0.9677619058098802,0.014489536397987177,0.0023533655663243386,0.012584932145184332,0.00011099426944241646,0.001546264994990905,2.4878025909507136e-05,0.001106115305822702,0.0,0.0,2.200748445841016e-05,0.0,0.0
51.0,14.0,2015.0,11703.0,15.0,0.9677619058098802,0.014489536397987177,0.0023533655663243386,0.012584932145184332,0.00011099426944241646,0.001546264994990905,2.4878025909507136e-05,0.001106115305822702,0.0,0.0,2.200748445841016e-05,0.0,0.0
52.0,91.0,2015.0,11712.0,364.0,0.9985162185555113,0.0007212826466264581,1.37387170785992e-05,0.0007178479673568082,0.0,0.0,0.0,3.09121134268482e-05,0.0,0.0,0.0,0.0,0.0
53.0,156.0,2015.0,12369.0,435.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,161.0,2015.0,12369.0,501.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,158.0,2015.0,12370.0,496.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,160.0,2015.0,12370.0,500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57.0,159.0,2015.0,12371.0,497.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.0,157.0,2015.0,12371.0,495.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.0,146.0,2015.0,13021.0,397.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,145.0,2015.0,13028.0,394.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,149.0,2015.0,13044.0,425.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.0,148.0,2015.0,13025.0,424.0,0.9763108152531229,0.005934770357847281,0.006603972950126796,0.003836174509251432,0.002456677937447168,0.0022541561003099463,1.1740396355780971e-05,0.00016730064806987885,0.0024243918474687706,0.0,0.0,0.0,0.0
63.0,147.0,2015.0,13026.0,422.0,0.9763108152531229,0.005934770357847281,0.006603972950126796,0.003836174509251432,0.002456677937447168,0.0022541561003099463,1.1740396355780971e-05,0.00016730064806987885,0.0024243918474687706,0.0,0.0,0.0,0.0
